id,query1,query2,label
0,请问哮喘是怎样的一种病？,哮喘病人的饮食是怎样的呢？,0
1,咳嗽的厉害有痰是不是可以吃蛇胆川贝液,哺乳期妇女咳嗽可以喝蛇胆川贝液?,0
2,肺气肿加心脏早搏骤停，怎么治疗?,如何治疗肺气肿加心脏早搏骤停?,1
3,服用金莲花胶囊需要注意什么？,服用金莲花胶囊有什么是需要注意的？,1
4,过期的化痰消咳片对感冒咳嗽还有作用吗,感冒咳嗽服用了过期的化痰消咳片还会有效果吗,1
5,支气管炎的最佳治疗方法是什么,治疗支气管炎效果最好的方法是什么?,1
6,哺乳期感冒吃什么药能好？,哺乳期宝宝感冒怎样治疗？,0
7,细菌胸膜炎吃什么消炎药,为什么会得细菌胸膜炎,0
8,过敏性哮喘应该怎么治?,过敏性哮喘是什么引起的,0
9,过敏性哮喘会不会引发生命危险,过敏性哮喘是怎样引起的,0
10,反复过敏性哮喘如何用药?,反复过敏性哮喘应该吃什么药,1
11,长江阿奇霉素分散片治疗咽炎的效果好吗,长江阿奇霉素分散片有什么副作用吗,0
12,6岁小孩反复感冒咳嗽好后咽喉长了一些,小孩反复感冒咽喉长了怎么办？,1
13,请问判定是不是胸膜炎要做什么检查？,请问判定是不是胸膜炎要去哪做查？,0
14,肺气肿吸氧有什么作用,肺气肿吸氧有作用吗？,1
15,上呼吸道感染引起的病毒性感冒,7个月宝宝病毒性感冒引起上呼吸道感染，吃,0
16,婴儿上呼吸道感染是什么引起的,两个月的婴儿上呼吸道感染可以吃药吗,0
17,上呼吸道过敏综合征是什么病,上呼吸道过敏综合征怎么治疗？,0
18,胸膜炎在复查阶段咳嗽请问是什么毛病,胸膜炎在复查阶段咳嗽有什么征兆？,0
19,托平缬沙坦胶囊副作用有哪些呢,托平缬沙坦胶囊副作用有几个方面,1
20,感冒了嗓子不舒服怎么办,感冒嗓子不舒服可以吃阿莫西林吗,0
21,宝宝流黄色的粘稠鼻涕怎么办,宝宝流黄色的粘稠鼻涕是上火了吗,0
22,头孢泊肟酯干混剂可以治疗儿童咳嗽吗,儿童服用头孢泊肟酯干混剂有副作用吗,0
23,新生儿可以用红霉素软膏吗,成年人怎么用红霉素软膏,0
24,小孩咳嗽引起了反复发烧这可怎么办,小孩咳嗽引起了反复发烧如何是好？,1
25,怀孕能吃阿莫西林胶囊吗,怀孕可以吃阿莫西林胶囊吗？,1
26,怀孕期间感冒了能打点滴吗,孕妇感冒严重能输液吗?,1
27,醋酸地塞米松可以治疗胸膜炎吗,醋酸地塞米松治疗胸膜炎可取吗？,1
28,心速宁胶囊哪里有卖的呢贵不贵呢,心速宁胶囊哪里有多少钱一盒,1
29,小孩子吃了感冒药为什么总想睡觉？,为什么小孩子吃了感冒药总想睡觉？,1
30,胸膜炎伴积水严重吗？,请问胸膜炎伴积水是不是严重？,1
31,妈妈感冒了，宝宝能吃母乳吗,母亲感冒了，宝宝吃母乳行吗,1
32,使用双黄连注射液为什么要做皮试？,双黄连注射液使用为什么要做皮试？,1
33,大补阴丸多少钱可以买到一盒呢,大补阴丸各大药店有售吗,0
34,哺乳期感冒可以吃感冒药吗？,哺乳期妈妈感冒喝姜糖水有效果吗？,0
35,慢阻肺有什么护理措施？,慢阻肺是什么病？,0
36,13价肺炎与23价肺炎怎么回事?,宝宝发热可以打13价疫苗吗,0
37,右胸拉伤感染引起胸膜炎的可能性大吗,右胸拉伤感染有可能引起胸膜炎吗,1
38,鼻塞打喷嚏流鼻涕怎么办好？,鼻塞打喷嚏流鼻涕怎么样 好？,1
39,排卵期感冒了，能不能怀孕,排卵期感冒了，能怀孕吗,1
40,感冒生病的时候能喝枸杞吗,请问感冒的时候能喝枸杞吗？,1
41,肺炎支原体检测阴性代表什么情况?,肺炎支原体检测阴性正常吗,0
42,孩子肺炎怎么治疗好得快一点,孩子肺炎针灸可以吗,0
43,怎么控制结合性胸膜炎积水,结合性胸膜炎积水治疗起来麻烦吗,0
44,治哮喘到北京德胜门中医院怎么样,哮喘病要住院吗？,0
45,小孩细菌性感冒要几天才能好,小孩细菌性感冒有哪些症状,0
46,不到5岁小孩老是感冒怎样治？,不到5岁小孩老是感冒采取什么办法？,1
47,肺癌不咯血是不是情况好转了？,肺癌不咯血是不是情况好转了？,1
48,上呼吸道感染，会传给家里人吗？,如果上呼吸道感染，会传给家里人吗？,1
49,你好请问百补增力丸药有什么疗效,你好请问百补增力丸药有什么作用,1
50,肺气肿影像报告怎么写？,肺气肿病人要注意什么事项？,0
51,小儿早期肺炎的症状是什么,小孩肺炎的早期什么症状,1
52,过敏性哮喘需要怎样治疗,过敏性哮喘怎么办好,1
53,小孩能喝复方甘草口服溶液吗,复方甘草口服溶液孕妇可以喝吗？,0
